global_account_number,account_type,country_code,currency_code,department_number,document_currency_cost,document_date,document_header_txt,document_information,file_arrival_datetime,group_business_unit,division_number,id,post_date,_c14,retail_amount
1305009,G,US,USD,8,10.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,9975eb32-2e89-4cf7-98bf-2bfbd1e91ef0,20200928,,0.0
1305009,G,US,USD,57,2.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,479,deeee21a-0803-4d88-8e83-418e587ea564,20200928,,0.0
1305009,G,US,USD,1,8.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,481,7972bb40-f381-4de5-b642-f1d780c20994,20200928,,0.0
1305009,G,US,USD,3,6.0,20200930,SAMPLE,,null,6378,483,43d70910-7bbe-4a4f-b81b-ba18d50f91bc,20200928,,0.0
1305009,G,US,USD,2,22.5,,SAMPLE,,2020/10/01T04:00:00:000,6378,485,757d9f4c-bdd4-4d1d-990c-d09c300ab95e,20200928,,0.0
1305009,G,,USD,52,16.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,487,7db71564-9822-4a35-903d-ba6a52a6cb47,20200928,,0.0
1305009,G,US,USD,,52.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,a2f9f703-2f5f-4bfd-a1bf-3b3965da1c95,20200928,,0.0
1305009,G,US,USD,4,1.575,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,6ebc5309-54b4-4d8f-a28e-e06545a283ae,20200928,,0.0
1305009,G,US,USD,49,3.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,2a6e7b15-0cc0-40b6-abee-1ca7fa0046eb,20200928,,0.0
1305009,G,US,USD,44,14.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,db7ef6c5-2708-47fe-b72f-50608b71d940,20200928,,0.0
1305009,G,US,USD,47,6.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,9b53a111-b7c2-4968-959a-bc9ba78c5676,20200928,,0.0
1305009,G,US,USD,42,2.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,86bfa587-ef1a-4222-8d51-7e5b1bd7fdb5,20200928,,0.0
1305009,G,US,USD,40,39.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,b094626c-c9f5-4f14-ba91-905581a59503,20200928,,0.0
1305009,G,US,USD,54,49.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,c8fe17d8-bf07-4202-ad0c-d4beb8a05e6f,20200928,,0.0
1305009,G,US,USD,8,10.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,9b02ffa2-6ab3-4c01-81b0-3461c6bd6947,20200928,,0.0
1305009,G,US,USD,8,10.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,07555480-db27-4235-bdd9-eba3dbc5136b,20200928,,0.0
1305009,G,US,USD,57,2.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,82a303c0-fbb5-46c3-a448-7a2e217fed65,20200928,,0.0
1305009,G,US,USD,57,2.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,1ee90138-8da9-4f65-bc5d-6c6fd772aa3e,20200928,,0.0
1305009,G,US,USD,1,8.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,5acf4e92-7a92-4359-b568-9e1ebbe9604a,20200928,,0.0
1305009,G,US,USD,1,8.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,1077856f-0c97-4b6e-9206-e9d19515b85f,20200928,,0.0
1305009,G,US,USD,3,6.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,bc00441d-7ef3-44ca-8aee-62f6d89940bb,20200928,,0.0
1305009,G,US,USD,3,6.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,c383aa46-f5bf-49b5-b8e5-17da8ab275bc,20200928,,0.0
1305009,G,US,USD,2,22.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,8c7e114b-4b4b-402f-a892-7098ae3e4020,20200928,,0.0
1305009,G,US,USD,2,22.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,874531a1-0d4e-4116-8b71-f4952b7c8aaa,20200928,,0.0
1305009,G,US,USD,52,16.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,625709f6-4b97-428e-96c0-f83eba96fd1b,20200928,,0.0
1305009,G,US,USD,52,16.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,dae0580f-9596-4115-880e-0c6b9e12a07e,20200928,,0.0
1305009,G,US,USD,78,1.75,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,ea95b182-905d-47d6-95d8-8781de7e23a0,20200928,,0.0
1305009,G,US,USD,78,1.75,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,8bd21322-b8eb-4e53-b7f6-ee1a256ef048,20200928,,0.0
1305009,G,US,USD,13,52.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,4a15e7a9-513e-4f32-9c17-1a4003ba18ff,20200928,,0.0
1305009,G,US,USD,13,52.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,d36c8a75-6fca-4121-8b41-f658663536d3,20200928,,0.0
1305009,G,US,USD,4,15.75,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,49bfeb88-84c7-408a-a64c-bc542463d35c,20200928,,0.0
1305009,G,US,USD,4,15.75,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,3e678104-de46-4419-a622-3862a7b144b7,20200928,,0.0
1305009,G,US,USD,49,3.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,09863f3d-235b-492c-ace7-44f1b542eb5f,20200928,,0.0
1305009,G,US,USD,49,3.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,58908214-d4b2-4487-952f-1e1371f35a25,20200928,,0.0
1305009,G,US,USD,44,14.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,a541b7a5-4663-4ad0-969b-69e4b0c4043b,20200928,,0.0
1305009,G,US,USD,44,14.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,b87883f6-5434-4eb7-94dc-e500fdd0f6ba,20200928,,0.0
1305009,G,US,USD,47,6.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,b83cd16e-9deb-414b-847f-67485cd9ef5c,20200928,,0.0
1305009,G,US,USD,47,6.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,0e8a8929-829f-429e-afff-f4ff15695297,20200928,,0.0
1305009,G,US,USD,42,2.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,efcbb603-1f1f-4fcb-aee6-36746209acc3,20200928,,0.0
1305009,G,US,USD,42,2.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,b0b30d83-7d83-4346-bbc9-9ebf1e18b216,20200928,,0.0
1305009,G,US,USD,40,39.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,178a32ea-9108-406d-af2b-141facaf2d53,20200928,,0.0
1305009,G,US,USD,40,39.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,a5b50748-19e2-4006-b0dc-b220e1e39372,20200928,,0.0
1305009,G,US,USD,54,49.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,caa19b1e-f774-44cd-a32e-3a92d6ca3b64,20200928,,0.0
1305009,G,US,USD,54,49.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,b99f3d64-464c-4dd8-a056-9b5cb496bbf5,20200928,,0.0
1305009,G,US,USD,8,10.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,9975eb32-2e89-4cf7-98bf-2bfbd1e91ef0,20200928,,0.0
1305009,G,US,USD,57,2.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,479,deeee21a-0803-4d88-8e83-418e587ea564,20200928,,0.0
1305009,G,US,USD,1,8.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,481,7972bb40-f381-4de5-b642-f1d780c20994,20200928,,0.0
1305009,G,US,USD,3,6.0,20200930,SAMPLE,,null,6378,483,43d70910-7bbe-4a4f-b81b-ba18d50f91bc,20200928,,0.0
1305009,G,US,USD,2,22.5,,SAMPLE,,2020/10/01T04:00:00:000,6378,485,757d9f4c-bdd4-4d1d-990c-d09c300ab95e,20200928,,0.0
1305009,G,,USD,52,16.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,487,7db71564-9822-4a35-903d-ba6a52a6cb47,20200928,,0.0
1305009,G,US,USD,,52.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,a2f9f703-2f5f-4bfd-a1bf-3b3965da1c95,20200928,,0.0
1305009,G,US,USD,4,1.575,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,6ebc5309-54b4-4d8f-a28e-e06545a283ae,20200928,,0.0
1305009,G,US,USD,49,3.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,2a6e7b15-0cc0-40b6-abee-1ca7fa0046eb,20200928,,0.0
1305009,G,US,USD,44,14.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,db7ef6c5-2708-47fe-b72f-50608b71d940,20200928,,0.0
1305009,G,US,USD,47,6.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,9b53a111-b7c2-4968-959a-bc9ba78c5676,20200928,,0.0
1305009,G,US,USD,42,2.0,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,86bfa587-ef1a-4222-8d51-7e5b1bd7fdb5,20200928,,0.0
1305009,G,US,USD,40,39.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,b094626c-c9f5-4f14-ba91-905581a59503,20200928,,0.0
1305009,G,US,USD,54,49.5,20200930,SAMPLE,,2020/10/01T04:00:00:000,6378,18,c8fe17d8-bf07-4202-ad0c-d4beb8a05e6f,20200928,,0.0
1305009,G,US,USD,8,10.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,9b02ffa2-6ab3-4c01-81b0-3461c6bd6947,20200928,,0.0
1305009,G,US,USD,8,10.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,07555480-db27-4235-bdd9-eba3dbc5136b,20200928,,0.0
1305009,G,US,USD,57,2.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,82a303c0-fbb5-46c3-a448-7a2e217fed65,20200928,,0.0
1305009,G,US,USD,57,2.5,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,1ee90138-8da9-4f65-bc5d-6c6fd772aa3e,20200928,,0.0
1305009,G,US,USD,1,8.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,5acf4e92-7a92-4359-b568-9e1ebbe9604a,20200928,,0.0
1305009,G,US,USD,1,8.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,1077856f-0c97-4b6e-9206-e9d19515b85f,20200928,,0.0
1305009,G,US,USD,3,6.0,20200930,SAMPLE,test,2020/10/01T04:00:00:000,6378,18,bc00441d-7ef3-44ca-8aee-62f6d89940bb,20200928,,0.0
